grid_row,grid_col,lat,lon,current_u,current_v,wind_speed_knots
0,35,-70.0,-35.2703,0.551,-0.416,9.0
0,36,-70.0,-35.1351,-0.104,-0.494,23.9
0,37,-70.0,-35.0,-0.373,0.213,11.8
0,38,-70.0,-34.8649,0.39,-0.021,13.8
0,39,-70.0,-34.7297,0.072,0.018,19.1
0,40,-70.0,-34.5946,-0.341,0.181,16.8
0,41,-70.0,-34.4595,0.144,0.103,11.4
0,42,-70.0,-34.3243,-0.455,0.234,16.1
0,43,-70.0,-34.1892,0.682,-0.544,19.6
0,44,-70.0,-34.0541,-0.164,0.148,5.8
0,45,-70.0,-33.9189,0.361,0.251,5.2
0,46,-70.0,-33.7838,-0.095,-0.314,14.2
0,47,-70.0,-33.6486,0.176,0.04,7.6
0,48,-70.0,-33.5135,0.211,-0.286,18.3
0,49,-70.0,-33.3784,-0.26,0.358,9.3
0,50,-70.0,-33.2432,0.76,-0.567,13.7
0,51,-70.0,-33.1081,0.508,-0.02,9.0
0,52,-70.0,-32.973,0.721,-0.433,16.0
0,53,-70.0,-32.8378,0.663,0.112,7.3
0,54,-70.0,-32.7027,0.277,-0.424,5.5
0,55,-70.0,-32.5676,0.698,-0.365,6.0
0,56,-70.0,-32.4324,-0.385,-0.106,24.1
0,57,-70.0,-32.2973,-0.245,0.315,7.8
0,58,-70.0,-32.1622,-0.441,-0.388,19.2
0,59,-70.0,-32.027,-0.077,-0.456,6.4
0,60,-70.0,-31.8919,0.005,0.159,7.2
0,61,-70.0,-31.7568,-0.147,-0.099,15.2
0,62,-70.0,-31.6216,0.577,0.312,14.3
0,63,-70.0,-31.4865,-0.036,-0.453,24.0
0,64,-70.0,-31.3514,-0.135,0.046,23.9
0,65,-70.0,-31.2162,0.206,-0.367,20.6
0,66,-70.0,-31.0811,-0.317,-0.443,17.0
0,67,-70.0,-30.9459,0.543,0.083,14.1
0,68,-70.0,-30.8108,-0.403,-0.006,12.1
0,69,-70.0,-30.6757,0.783,0.155,23.9
0,70,-70.0,-30.5405,0.504,-0.291,17.1
0,71,-70.0,-30.4054,-0.242,-0.152,16.6
0,72,-70.0,-30.2703,-0.493,-0.195,9.6
0,73,-70.0,-30.1351,0.56,0.384,5.9
0,74,-70.0,-30.0,0.419,-0.308,23.9
1,0,-70.0676,-40.0,0.448,-0.305,11.3
1,1,-70.0676,-39.8649,0.503,-0.245,13.9
1,2,-70.0676,-39.7297,-0.404,-0.035,7.3
1,3,-70.0676,-39.5946,-0.034,-0.348,21.7
1,4,-70.0676,-39.4595,-0.349,0.315,5.6
1,5,-70.0676,-39.3243,0.622,-0.334,21.7
1,6,-70.0676,-39.1892,0.31,0.296,7.8
1,7,-70.0676,-39.0541,-0.07,-0.497,22.7
1,8,-70.0676,-38.9189,-0.417,0.057,19.6
1,9,-70.0676,-38.7838,-0.096,0.307,8.3
1,10,-70.0676,-38.6486,-0.077,-0.431,16.3
1,11,-70.0676,-38.5135,0.448,0.368,11.3
1,12,-70.0676,-38.3784,0.329,-0.147,8.6
1,13,-70.0676,-38.2432,0.653,0.346,22.2
1,14,-70.0676,-38.1081,0.114,0.077,13.1
1,15,-70.0676,-37.973,-0.345,-0.298,13.0
1,16,-70.0676,-37.8378,0.427,-0.412,8.4
1,17,-70.0676,-37.7027,0.489,-0.296,12.7
1,18,-70.0676,-37.5676,0.23,-0.507,22.4
1,19,-70.0676,-37.4324,0.502,-0.456,12.3
1,20,-70.0676,-37.2973,0.142,-0.495,24.0
1,21,-70.0676,-37.1622,0.18,-0.177,23.9
1,22,-70.0676,-37.027,0.056,0.196,7.9
1,23,-70.0676,-36.8919,-0.467,-0.459,8.5
1,24,-70.0676,-36.7568,-0.36,-0.47,22.3
1,25,-70.0676,-36.6216,-0.459,0.043,12.9
1,26,-70.0676,-36.4865,0.327,-0.403,5.1
1,27,-70.0676,-36.3514,-0.091,-0.502,10.5
1,28,-70.0676,-36.2162,0.161,-0.433,17.0
1,29,-70.0676,-36.0811,0.68,0.324,21.0
1,30,-70.0676,-35.9459,-0.176,0.221,7.7
1,31,-70.0676,-35.8108,0.033,-0.246,7.2
1,32,-70.0676,-35.6757,0.482,0.056,23.4
1,33,-70.0676,-35.5405,-0.203,-0.063,20.0
1,34,-70.0676,-35.4054,-0.4,0.077,16.8
1,35,-70.0676,-35.2703,-0.123,0.083,20.4
1,36,-70.0676,-35.1351,-0.29,0.029,13.6
1,37,-70.0676,-35.0,0.709,-0.334,20.2
1,38,-70.0676,-34.8649,0.551,-0.561,12.4
1,39,-70.0676,-34.7297,0.323,-0.144,9.9
1,40,-70.0676,-34.5946,0.633,0.291,19.6
1,41,-70.0676,-34.4595,0.545,-0.031,13.4
1,42,-70.0676,-34.3243,-0.257,0.232,24.6
1,43,-70.0676,-34.1892,0.66,0.392,12.0
1,44,-70.0676,-34.0541,0.201,-0.436,23.4
1,45,-70.0676,-33.9189,0.55,0.092,23.7
1,46,-70.0676,-33.7838,0.665,0.074,9.8
1,47,-70.0676,-33.6486,-0.087,0.38,21.0
1,48,-70.0676,-33.5135,-0.357,0.386,13.7
1,49,-70.0676,-33.3784,-0.204,0.087,23.4
1,50,-70.0676,-33.2432,0.055,-0.356,14.0
1,51,-70.0676,-33.1081,0.563,0.199,19.9
1,52,-70.0676,-32.973,0.619,-0.493,14.3
1,53,-70.0676,-32.8378,-0.491,0.181,9.6
1,54,-70.0676,-32.7027,0.164,0.31,9.0
1,55,-70.0676,-32.5676,0.043,-0.217,13.5
1,56,-70.0676,-32.4324,-0.211,0.031,20.1
1,57,-70.0676,-32.2973,-0.344,-0.17,17.1
1,58,-70.0676,-32.1622,-0.061,-0.162,18.8
1,59,-70.0676,-32.027,0.726,-0.29,10.6
1,60,-70.0676,-31.8919,-0.08,0.162,14.6
1,61,-70.0676,-31.7568,0.174,0.336,5.9
1,62,-70.0676,-31.6216,0.414,0.341,21.4
1,63,-70.0676,-31.4865,-0.027,-0.425,24.8
1,64,-70.0676,-31.3514,0.763,0.275,13.1
1,65,-70.0676,-31.2162,0.751,0.137,5.2
1,66,-70.0676,-31.0811,-0.173,-0.347,8.4
1,67,-70.0676,-30.9459,0.146,-0.533,18.1
1,68,-70.0676,-30.8108,-0.109,-0.332,17.2
1,69,-70.0676,-30.6757,-0.13,0.312,20.8
1,70,-70.0676,-30.5405,-0.452,0.033,10.1
1,71,-70.0676,-30.4054,0.292,0.121,20.3
1,72,-70.0676,-30.2703,0.153,-0.343,18.8
1,73,-70.0676,-30.1351,-0.433,0.119,11.5
1,74,-70.0676,-30.0,-0.138,-0.572,15.9
2,0,-70.1351,-40.0,0.681,-0.225,7.9
2,1,-70.1351,-39.8649,-0.189,0.027,14.1
2,2,-70.1351,-39.7297,-0.312,-0.454,22.6
2,3,-70.1351,-39.5946,0.136,0.223,13.4
2,4,-70.1351,-39.4595,0.781,-0.365,21.8
2,5,-70.1351,-39.3243,-0.185,0.052,16.8
2,6,-70.1351,-39.1892,0.374,-0.195,8.8
2,7,-70.1351,-39.0541,0.49,-0.004,16.6
2,8,-70.1351,-38.9189,-0.191,-0.493,15.1
2,9,-70.1351,-38.7838,0.447,-0.583,13.0
2,10,-70.1351,-38.6486,-0.022,0.31,7.4
2,11,-70.1351,-38.5135,0.322,-0.33,13.3
2,12,-70.1351,-38.3784,0.324,0.22,6.5
2,13,-70.1351,-38.2432,0.197,0.399,7.0
2,14,-70.1351,-38.1081,-0.383,-0.389,13.3
2,15,-70.1351,-37.973,0.586,-0.335,11.1
2,16,-70.1351,-37.8378,-0.083,0.063,23.5
2,17,-70.1351,-37.7027,-0.258,0.365,12.5
2,18,-70.1351,-37.5676,-0.447,0.316,20.2
2,19,-70.1351,-37.4324,0.268,-0.097,15.6
2,20,-70.1351,-37.2973,0.381,0.195,19.1
2,21,-70.1351,-37.1622,-0.478,-0.464,10.2
2,22,-70.1351,-37.027,0.166,0.377,23.8
2,23,-70.1351,-36.8919,-0.206,0.364,15.6
2,24,-70.1351,-36.7568,0.339,-0.436,21.6
2,25,-70.1351,-36.6216,-0.273,-0.301,12.3
2,26,-70.1351,-36.4865,0.398,-0.5,7.0
2,27,-70.1351,-36.3514,0.003,-0.328,18.5
2,28,-70.1351,-36.2162,0.718,0.216,5.2
2,29,-70.1351,-36.0811,-0.321,-0.222,14.5
2,30,-70.1351,-35.9459,-0.057,-0.512,8.9
2,31,-70.1351,-35.8108,-0.352,-0.258,17.5
2,32,-70.1351,-35.6757,0.702,0.381,24.6
2,33,-70.1351,-35.5405,0.641,0.03,14.3
2,34,-70.1351,-35.4054,-0.165,-0.184,21.3
2,35,-70.1351,-35.2703,0.358,-0.433,15.2
2,36,-70.1351,-35.1351,0.562,0.386,14.9
2,37,-70.1351,-35.0,0.222,0.221,23.6
2,38,-70.1351,-34.8649,0.189,-0.319,22.8
2,39,-70.1351,-34.7297,-0.186,-0.53,20.7
2,40,-70.1351,-34.5946,-0.379,-0.543,10.9
2,41,-70.1351,-34.4595,0.666,-0.48,15.9
2,42,-70.1351,-34.3243,0.671,-0.019,9.5
2,43,-70.1351,-34.1892,0.323,0.329,13.9
2,44,-70.1351,-34.0541,-0.059,-0.103,14.7
2,45,-70.1351,-33.9189,-0.046,0.243,21.6
2,46,-70.1351,-33.7838,0.444,-0.154,22.9
2,47,-70.1351,-33.6486,0.666,0.109,13.3
2,48,-70.1351,-33.5135,0.653,0.132,5.4
2,49,-70.1351,-33.3784,0.514,-0.426,22.2
2,50,-70.1351,-33.2432,0.335,-0.239,8.5
2,51,-70.1351,-33.1081,-0.391,0.037,17.4
2,52,-70.1351,-32.973,-0.29,-0.529,5.5
2,53,-70.1351,-32.8378,0.668,-0.238,13.0
2,54,-70.1351,-32.7027,0.288,-0.065,24.7
2,55,-70.1351,-32.5676,-0.488,0.396,7.0
2,56,-70.1351,-32.4324,-0.368,-0.125,13.5
2,57,-70.1351,-32.2973,0.363,0.216,11.1
2,58,-70.1351,-32.1622,-0.493,-0.168,23.1
2,59,-70.1351,-32.027,-0.291,0.196,22.4
2,60,-70.1351,-31.8919,0.213,-0.005,9.8
2,61,-70.1351,-31.7568,0.399,0.287,6.6
2,62,-70.1351,-31.6216,0.348,-0.189,17.5
2,63,-70.1351,-31.4865,-0.208,0.004,11.7
2,64,-70.1351,-31.3514,0.426,0.03,18.4
2,65,-70.1351,-31.2162,-0.192,-0.183,5.6
2,66,-70.1351,-31.0811,-0.077,-0.456,7.7
2,67,-70.1351,-30.9459,0.47,-0.506,18.7
2,68,-70.1351,-30.8108,0.345,-0.583,9.2
2,69,-70.1351,-30.6757,0.604,0.274,22.2
2,70,-70.1351,-30.5405,0.355,-0.364,6.2
2,71,-70.1351,-30.4054,0.239,-0.388,9.3
2,72,-70.1351,-30.2703,-0.378,0.136,25.0
2,73,-70.1351,-30.1351,-0.022,-0.28,13.7
2,74,-70.1351,-30.0,-0.155,-0.094,19.1
3,0,-70.2027,-40.0,-0.183,-0.437,8.7
3,1,-70.2027,-39.8649,0.765,0.36,17.2
3,2,-70.2027,-39.7297,0.011,0.252,19.5
3,3,-70.2027,-39.5946,0.66,0.264,11.3
3,4,-70.2027,-39.4595,0.32,-0.193,21.6
3,5,-70.2027,-39.3243,0.533,0.162,17.1
3,6,-70.2027,-39.1892,0.153,-0.456,12.8
3,7,-70.2027,-39.0541,0.25,-0.591,16.2
3,8,-70.2027,-38.9189,0.14,-0.58,16.5
3,9,-70.2027,-38.7838,-0.246,-0.013,8.3
3,10,-70.2027,-38.6486,0.439,-0.145,13.1
3,11,-70.2027,-38.5135,-0.135,-0.082,11.9
3,12,-70.2027,-38.3784,-0.468,-0.593,13.0
3,13,-70.2027,-38.2432,0.339,-0.177,20.2
3,14,-70.2027,-38.1081,-0.27,0.118,14.7
3,15,-70.2027,-37.973,0.723,-0.157,23.8
3,16,-70.2027,-37.8378,0.74,0.132,10.9
3,17,-70.2027,-37.7027,0.689,-0.367,13.3
3,18,-70.2027,-37.5676,-0.019,0.213,20.7
3,19,-70.2027,-37.4324,-0.48,-0.012,15.9
3,20,-70.2027,-37.2973,0.707,-0.389,15.9
3,21,-70.2027,-37.1622,0.057,-0.363,6.1
3,22,-70.2027,-37.027,0.757,0.028,13.0
3,23,-70.2027,-36.8919,0.753,0.23,10.4
3,24,-70.2027,-36.7568,0.609,-0.184,25.0
3,25,-70.2027,-36.6216,-0.117,-0.342,11.2
3,26,-70.2027,-36.4865,0.001,0.267,22.7
3,27,-70.2027,-36.3514,0.606,0.069,18.5
3,28,-70.2027,-36.2162,-0.088,-0.152,11.8
3,29,-70.2027,-36.0811,-0.28,-0.112,15.9
3,30,-70.2027,-35.9459,0.224,-0.396,21.8
3,31,-70.2027,-35.8108,0.717,0.027,22.7
3,32,-70.2027,-35.6757,0.405,-0.241,8.2
3,33,-70.2027,-35.5405,0.241,0.396,11.8
3,34,-70.2027,-35.4054,-0.374,-0.12,11.7
3,35,-70.2027,-35.2703,0.3,-0.114,5.8
3,36,-70.2027,-35.1351,0.787,-0.034,17.0
3,37,-70.2027,-35.0,-0.318,0.317,22.1
3,38,-70.2027,-34.8649,0.174,0.201,12.6
3,39,-70.2027,-34.7297,0.641,-0.149,19.8
3,40,-70.2027,-34.5946,0.463,0.119,17.6
3,41,-70.2027,-34.4595,0.406,-0.014,12.5
3,42,-70.2027,-34.3243,0.413,-0.108,7.8
3,43,-70.2027,-34.1892,-0.033,-0.408,19.2
3,44,-70.2027,-34.0541,-0.118,-0.136,22.1
3,45,-70.2027,-33.9189,0.552,-0.354,18.7
3,46,-70.2027,-33.7838,0.553,0.315,5.4
3,47,-70.2027,-33.6486,0.627,-0.265,9.3
3,48,-70.2027,-33.5135,0.687,0.352,6.4
3,49,-70.2027,-33.3784,0.165,-0.067,16.4
3,50,-70.2027,-33.2432,0.152,0.032,20.1
3,51,-70.2027,-33.1081,0.538,-0.057,7.2
3,52,-70.2027,-32.973,0.345,-0.471,21.8
3,53,-70.2027,-32.8378,0.413,-0.224,16.1
3,54,-70.2027,-32.7027,0.535,-0.501,18.8
3,55,-70.2027,-32.5676,0.657,0.023,24.4
3,56,-70.2027,-32.4324,-0.061,-0.153,6.7
3,57,-70.2027,-32.2973,-0.012,0.178,23.0
3,58,-70.2027,-32.1622,-0.378,-0.38,7.5
3,59,-70.2027,-32.027,0.252,-0.435,12.9
3,60,-70.2027,-31.8919,-0.453,-0.194,22.0
3,61,-70.2027,-31.7568,0.105,0.327,23.1
3,62,-70.2027,-31.6216,0.205,0.11,15.1
3,63,-70.2027,-31.4865,-0.127,-0.181,16.9
3,64,-70.2027,-31.3514,0.268,-0.083,19.2
3,65,-70.2027,-31.2162,-0.46,-0.516,21.7
3,66,-70.2027,-31.0811,-0.451,0.385,7.4
3,67,-70.2027,-30.9459,0.569,0.066,21.2
3,68,-70.2027,-30.8108,-0.032,-0.315,14.6
3,69,-70.2027,-30.6757,-0.335,-0.014,14.0
3,70,-70.2027,-30.5405,0.179,-0.491,13.5
3,71,-70.2027,-30.4054,0.501,0.366,15.2
3,72,-70.2027,-30.2703,-0.219,-0.425,23.9
3,73,-70.2027,-30.1351,0.31,0.048,16.0
3,74,-70.2027,-30.0,-0.389,-0.355,24.1
4,0,-70.2703,-40.0,-0.433,0.118,8.6
4,1,-70.2703,-39.8649,0.191,0.177,19.5
4,2,-70.2703,-39.7297,0.203,0.073,21.2
4,3,-70.2703,-39.5946,0.329,0.014,18.6
4,4,-70.2703,-39.4595,0.444,0.292,17.1
4,5,-70.2703,-39.3243,0.769,-0.521,16.3
4,6,-70.2703,-39.1892,0.171,-0.269,22.2
4,7,-70.2703,-39.0541,-0.08,-0.352,21.4
4,8,-70.2703,-38.9189,0.534,0.388,7.4
4,9,-70.2703,-38.7838,-0.148,-0.211,22.0
4,10,-70.2703,-38.6486,0.071,0.133,13.3
4,11,-70.2703,-38.5135,-0.398,0.085,10.1
4,12,-70.2703,-38.3784,-0.467,-0.388,22.4
4,13,-70.2703,-38.2432,0.751,-0.361,13.6
4,14,-70.2703,-38.1081,0.587,-0.319,21.2
4,15,-70.2703,-37.973,0.405,-0.189,10.3
4,16,-70.2703,-37.8378,0.032,-0.366,5.1
4,17,-70.2703,-37.7027,-0.275,-0.58,14.9
4,18,-70.2703,-37.5676,-0.297,0.279,7.0
4,19,-70.2703,-37.4324,-0.175,0.366,20.1
4,20,-70.2703,-37.2973,0.214,-0.258,10.5
4,21,-70.2703,-37.1622,0.429,-0.261,13.9
4,22,-70.2703,-37.027,0.358,-0.593,6.7
4,23,-70.2703,-36.8919,-0.136,0.08,10.7
4,24,-70.2703,-36.7568,0.741,0.225,20.6
4,25,-70.2703,-36.6216,0.459,-0.453,8.0
4,26,-70.2703,-36.4865,0.221,-0.44,17.9
4,27,-70.2703,-36.3514,0.295,0.19,23.3
4,28,-70.2703,-36.2162,0.045,0.016,18.6
4,29,-70.2703,-36.0811,-0.178,-0.555,21.2
4,30,-70.2703,-35.9459,-0.037,0.023,7.2
4,31,-70.2703,-35.8108,0.485,-0.291,10.0
4,32,-70.2703,-35.6757,-0.481,-0.231,22.9
4,33,-70.2703,-35.5405,-0.349,0.17,19.3
4,34,-70.2703,-35.4054,-0.44,0.211,17.8
4,35,-70.2703,-35.2703,-0.447,-0.2,18.3
4,36,-70.2703,-35.1351,0.612,0.347,13.3
4,37,-70.2703,-35.0,0.415,-0.194,5.9
4,38,-70.2703,-34.8649,0.116,0.172,20.7
4,39,-70.2703,-34.7297,-0.373,-0.116,18.6
4,40,-70.2703,-34.5946,0.139,0.298,14.5
4,41,-70.2703,-34.4595,0.116,0.308,23.0
4,42,-70.2703,-34.3243,-0.275,-0.513,11.7
4,43,-70.2703,-34.1892,0.064,0.336,10.9
4,44,-70.2703,-34.0541,0.018,0.226,22.5
4,45,-70.2703,-33.9189,0.301,0.191,20.9
4,46,-70.2703,-33.7838,0.326,-0.399,15.3
4,47,-70.2703,-33.6486,-0.441,0.205,7.6
4,48,-70.2703,-33.5135,-0.013,0.25,9.3
4,49,-70.2703,-33.3784,0.314,-0.311,18.1
4,50,-70.2703,-33.2432,0.154,0.352,12.7
4,51,-70.2703,-33.1081,0.613,-0.55,21.7
4,52,-70.2703,-32.973,0.356,-0.45,24.0
4,53,-70.2703,-32.8378,-0.288,-0.062,21.1
4,54,-70.2703,-32.7027,-0.408,-0.024,12.6
4,55,-70.2703,-32.5676,0.335,0.045,20.8
4,56,-70.2703,-32.4324,-0.466,-0.583,12.0
4,57,-70.2703,-32.2973,0.262,0.36,8.3
4,58,-70.2703,-32.1622,0.722,-0.555,5.7
4,59,-70.2703,-32.027,0.248,-0.457,12.7
4,60,-70.2703,-31.8919,0.005,-0.586,23.1
4,61,-70.2703,-31.7568,0.336,-0.033,9.8
4,62,-70.2703,-31.6216,0.096,0.332,9.1
4,63,-70.2703,-31.4865,0.209,0.066,24.4
4,64,-70.2703,-31.3514,0.724,0.223,5.5
4,65,-70.2703,-31.2162,0.002,-0.587,20.7
4,66,-70.2703,-31.0811,0.75,-0.058,11.4
4,67,-70.2703,-30.9459,0.677,-0.14,5.7
4,68,-70.2703,-30.8108,-0.245,-0.101,23.4
4,69,-70.2703,-30.6757,-0.41,-0.528,7.8
4,70,-70.2703,-30.5405,-0.369,0.084,16.0
4,71,-70.2703,-30.4054,-0.476,-0.097,10.5
4,72,-70.2703,-30.2703,-0.377,0.165,6.3
4,73,-70.2703,-30.1351,0.388,-0.115,6.0
4,74,-70.2703,-30.0,-0.407,-0.451,7.3
5,0,-70.3378,-40.0,-0.085,0.048,6.4
5,1,-70.3378,-39.8649,0.598,-0.428,20.2
5,2,-70.3378,-39.7297,-0.47,0.272,14.7
5,3,-70.3378,-39.5946,0.559,0.013,11.9
5,4,-70.3378,-39.4595,-0.134,-0.443,13.4
5,5,-70.3378,-39.3243,-0.346,0.362,23.6
5,6,-70.3378,-39.1892,0.406,-0.082,23.2
5,7,-70.3378,-39.0541,0.318,-0.527,19.3
5,8,-70.3378,-38.9189,0.641,0.027,22.7
5,9,-70.3378,-38.7838,0.456,-0.347,11.4
5,10,-70.3378,-38.6486,0.545,0.204,12.6
5,11,-70.3378,-38.5135,-0.133,0.218,17.3
5,12,-70.3378,-38.3784,-0.269,0.379,17.5
5,13,-70.3378,-38.2432,0.476,-0.098,14.6
5,14,-70.3378,-38.1081,0.549,-0.145,13.0
5,15,-70.3378,-37.973,0.788,0.153,24.7
5,16,-70.3378,-37.8378,0.036,-0.468,21.4
5,17,-70.3378,-37.7027,-0.016,-0.053,13.7
5,18,-70.3378,-37.5676,0.509,-0.054,19.5
5,19,-70.3378,-37.4324,-0.057,-0.511,10.4
5,20,-70.3378,-37.2973,0.71,-0.182,7.0
5,21,-70.3378,-37.1622,0.616,0.253,12.0
5,22,-70.3378,-37.027,0.058,0.256,13.1
5,23,-70.3378,-36.8919,0.476,-0.501,5.3
5,24,-70.3378,-36.7568,0.481,-0.509,21.3
5,25,-70.3378,-36.6216,-0.366,-0.337,12.2
5,26,-70.3378,-36.4865,0.673,0.275,16.6
5,27,-70.3378,-36.3514,0.157,-0.471,6.5
5,28,-70.3378,-36.2162,0.574,0.12,8.5
5,29,-70.3378,-36.0811,-0.084,-0.499,22.8
5,30,-70.3378,-35.9459,0.664,0.023,17.2
5,31,-70.3378,-35.8108,0.006,-0.244,24.0
5,32,-70.3378,-35.6757,-0.486,0.189,25.0
5,33,-70.3378,-35.5405,0.677,-0.366,12.4
5,34,-70.3378,-35.4054,-0.381,0.039,11.0
5,35,-70.3378,-35.2703,-0.085,-0.364,22.2
5,36,-70.3378,-35.1351,0.735,0.114,25.0
5,37,-70.3378,-35.0,0.736,0.274,17.6
5,38,-70.3378,-34.8649,0.245,-0.473,20.9
5,39,-70.3378,-34.7297,0.321,0.267,20.6
5,40,-70.3378,-34.5946,0.083,-0.006,12.1
5,41,-70.3378,-34.4595,-0.119,-0.473,16.5
5,42,-70.3378,-34.3243,-0.073,-0.172,21.7
5,43,-70.3378,-34.1892,0.374,-0.439,18.8
5,44,-70.3378,-34.0541,0.478,0.1,5.4
5,45,-70.3378,-33.9189,0.529,0.159,11.7
5,46,-70.3378,-33.7838,0.527,-0.494,7.9
5,47,-70.3378,-33.6486,-0.381,-0.094,9.7
5,48,-70.3378,-33.5135,0.143,0.215,23.1
5,49,-70.3378,-33.3784,-0.425,0.336,5.7
5,50,-70.3378,-33.2432,0.214,-0.086,9.4
5,51,-70.3378,-33.1081,0.074,0.35,11.2
5,52,-70.3378,-32.973,0.654,-0.064,17.3
5,53,-70.3378,-32.8378,-0.044,-0.206,15.7
5,54,-70.3378,-32.7027,-0.348,0.248,9.4
5,55,-70.3378,-32.5676,-0.314,-0.107,8.3
5,56,-70.3378,-32.4324,0.49,-0.128,9.7
5,57,-70.3378,-32.2973,0.304,-0.11,15.1
5,58,-70.3378,-32.1622,-0.369,0.247,10.4
5,59,-70.3378,-32.027,-0.391,0.232,24.0
5,60,-70.3378,-31.8919,0.411,-0.196,14.3
5,61,-70.3378,-31.7568,-0.405,-0.267,6.2
5,62,-70.3378,-31.6216,0.568,-0.108,19.6
5,63,-70.3378,-31.4865,0.418,-0.027,11.6
5,64,-70.3378,-31.3514,-0.394,-0.362,18.1
5,65,-70.3378,-31.2162,-0.39,0.194,10.6
5,66,-70.3378,-31.0811,0.783,-0.114,16.4
5,67,-70.3378,-30.9459,-0.013,-0.266,20.4
5,68,-70.3378,-30.8108,-0.018,-0.493,23.6
5,69,-70.3378,-30.6757,0.557,-0.361,10.2
5,70,-70.3378,-30.5405,0.731,0.349,11.7
5,71,-70.3378,-30.4054,0.782,-0.295,14.3
5,72,-70.3378,-30.2703,0.479,-0.431,23.5
5,73,-70.3378,-30.1351,-0.011,-0.139,23.0
5,74,-70.3378,-30.0,-0.391,-0.293,6.8
6,0,-70.4054,-40.0,0.51,-0.565,7.6
6,1,-70.4054,-39.8649,0.226,-0.277,14.9
6,2,-70.4054,-39.7297,0.051,-0.056,7.1
6,3,-70.4054,-39.5946,0.678,-0.048,11.9
6,4,-70.4054,-39.4595,-0.355,-0.243,8.0
6,5,-70.4054,-39.3243,0.14,-0.153,17.7
6,6,-70.4054,-39.1892,-0.485,0.366,24.0
6,7,-70.4054,-39.0541,0.109,-0.223,24.9
6,8,-70.4054,-38.9189,-0.427,-0.342,12.5
6,9,-70.4054,-38.7838,-0.346,-0.357,17.0
6,10,-70.4054,-38.6486,-0.347,-0.142,22.1
6,11,-70.4054,-38.5135,0.344,0.16,7.3
6,12,-70.4054,-38.3784,0.47,-0.394,18.8
6,13,-70.4054,-38.2432,0.258,0.109,13.2
6,14,-70.4054,-38.1081,0.751,-0.579,9.1
6,15,-70.4054,-37.973,-0.013,-0.181,13.1
6,16,-70.4054,-37.8378,-0.129,0.176,6.5
6,17,-70.4054,-37.7027,0.629,-0.261,18.9
6,18,-70.4054,-37.5676,-0.209,-0.036,10.1
6,19,-70.4054,-37.4324,0.752,-0.395,11.2
6,20,-70.4054,-37.2973,-0.484,0.142,7.4
6,21,-70.4054,-37.1622,0.761,-0.548,22.3
6,22,-70.4054,-37.027,-0.444,0.253,14.9
6,23,-70.4054,-36.8919,0.658,-0.402,16.4
6,24,-70.4054,-36.7568,0.186,0.274,16.4
6,25,-70.4054,-36.6216,0.791,-0.247,13.2
6,26,-70.4054,-36.4865,-0.404,0.123,8.9
6,27,-70.4054,-36.3514,0.22,-0.281,19.9
6,28,-70.4054,-36.2162,0.76,0.306,7.5
6,29,-70.4054,-36.0811,0.18,-0.473,7.1
6,30,-70.4054,-35.9459,0.318,-0.421,19.2
6,31,-70.4054,-35.8108,0.404,-0.107,9.2
6,32,-70.4054,-35.6757,0.091,-0.518,11.1
6,33,-70.4054,-35.5405,0.316,-0.404,14.5
